actioncountry,year,month,day,nummentions,eventid
RQ,2019,12,20,7,894236784
RQ,2019,12,20,4,894403025
RQ,2019,12,20,3,894223809
RQ,2019,12,20,2,894322947
RQ,2019,12,20,1,894328169
BD,2019,12,18,4,893809818
BD,2019,12,18,3,893653195
BD,2019,12,18,1,893793640
MI,2019,12,21,4,894482306
MI,2019,12,21,3,894410328
MI,2019,12,21,1,894451269
GM,2009,12,12,1,892054636
BG,2019,12,12,75,892559789
BG,2019,12,12,73,892559788
BG,2019,12,12,63,892593730
BG,2019,12,12,61,892561959
BG,2019,12,12,59,892593736
BG,2019,12,12,44,892468659
BG,2019,12,12,39,892468885
BG,2019,12,12,38,892407126
BG,2019,12,12,36,892518759
BG,2019,12,12,31,892428259
BG,2019,12,12,30,892414707
BG,2019,12,12,28,892545266
BG,2019,12,12,27,892417785
BG,2019,12,12,26,892408517
BG,2019,12,12,25,892414732
BG,2019,12,12,24,892501992
BG,2019,12,12,23,892414912
BG,2019,12,12,22,892492322
BG,2019,12,12,21,892412859
BG,2019,12,12,20,892486534
BG,2019,12,12,19,892493154
BG,2019,12,12,18,892516211
BG,2019,12,12,17,892544219
BG,2019,12,12,16,892598688
BG,2019,12,12,15,892516206
BG,2019,12,12,14,892501989
BG,2019,12,12,13,892513151
BG,2019,12,12,12,892564501
BG,2019,12,12,11,892510399
BG,2019,12,12,10,892518899
BG,2019,12,12,9,892575080
BG,2019,12,12,8,892873618
BG,2019,12,12,7,892594771
BG,2019,12,12,6,892609971
BG,2019,12,12,5,892575083
BG,2019,12,12,4,894089699
BG,2019,12,12,3,892696203
BG,2019,12,12,2,893940120
BG,2019,12,12,1,893925981
MK,2019,12,22,92,894566643
MK,2019,12,22,60,894530903
MK,2019,12,22,40,894559454
MK,2019,12,22,28,894521263
MK,2019,12,22,24,894566451
MK,2019,12,22,20,894563759
MK,2019,12,22,16,894568264
MK,2019,12,22,12,894706548
MK,2019,12,22,8,894597743
MK,2019,12,22,7,894540050
MK,2019,12,22,4,894744963
MK,2019,12,22,3,894508830
MK,2019,12,22,2,894508554
MK,2019,12,22,1,894590301
JM,2019,11,1,1,890133969
RW,2018,12,1,1,890052088
KS,2019,12,11,80,892169972
KS,2019,12,11,76,892191820
KS,2019,12,11,70,892215485
KS,2019,12,11,64,892185368
KS,2019,12,11,56,892191818
KS,2019,12,11,48,892219970
KS,2019,12,11,44,892175514
KS,2019,12,11,42,892161010
KS,2019,12,11,40,892196014
KS,2019,12,11,36,892222022
KS,2019,12,11,32,892217435
KS,2019,12,11,28,892225121
KS,2019,12,11,24,893805724
KS,2019,12,11,22,892222023
KS,2019,12,11,21,892167336
KS,2019,12,11,20,892307933
KS,2019,12,11,18,892221887
KS,2019,12,11,16,892215605
KS,2019,12,11,14,892236602
KS,2019,12,11,13,892163836
KS,2019,12,11,12,892359025
KS,2019,12,11,11,892163837
KS,2019,12,11,10,892301095
KS,2019,12,11,9,892235463
KS,2019,12,11,8,892396372
KS,2019,12,11,7,892282904
KS,2019,12,11,6,892400201
KS,2019,12,11,5,892327211
KS,2019,12,11,4,892500647
KS,2019,12,11,3,892391428
KS,2019,12,11,2,892361550
KS,2019,12,11,1,893828575
CS,2019,12,11,8,892312994
CS,2019,12,11,6,892367431
CS,2019,12,11,5,892183387
CS,2019,12,11,4,892364889
CS,2019,12,11,2,892357161
CS,2019,12,11,1,892370743
JO,2019,12,11,36,892297957
JO,2019,12,11,28,892289701
JO,2019,12,11,24,892332607
JO,2019,12,11,21,892159319
JO,2019,12,11,20,892290176
JO,2019,12,11,18,892289678
JO,2019,12,11,16,892298338
JO,2019,12,11,13,892220301
JO,2019,12,11,12,892385035
JO,2019,12,11,11,892182585
JO,2019,12,11,10,892286935
JO,2019,12,11,9,892202777
JO,2019,12,11,8,892367737
JO,2019,12,11,7,892296747
JO,2019,12,11,6,892354456
JO,2019,12,11,5,892345970
JO,2019,12,11,4,893656989
JO,2019,12,11,3,892390346
JO,2019,12,11,2,893855239
JO,2019,12,11,1,893654856
